,,,,,,,,,,,,"Reportable Communicable Diseases
 Monthly Report - December 2021",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Disease,2021 YTD Cases,2021 YTD Rate1,January,February,March,April,May,June,July,August,September,October,November,December,December 3 yr. Average2,2020 Total Cases,2020 Total Rate1,,,
,Sexually Transmitted and Bloodborne,,,,,,,,,,,,,,,,,,,,
,AIDS,18,0.6,1,0,1,0,1,0,4,0,3,6,1,1,1,30,1.0,,,
,HIV ,320,10.8,26,29,24,17,17,29,37,23,26,45,27,20,41,411,13.9,,,
,Chlamydia,"10,378",349.9,803,769,823,762,682,794,785,"1,000","1,090",970,"1,027",873,968,"9,065",305.7,,,
,Chancroid,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,Gonorrhea,"3,740",126.1,316,273,291,216,196,250,270,344,427,428,429,300,346,"3,627",122.3,,,
,Hepatitis B - cases,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1,,,
,Hepatitis B - carriers,364,12.3,43,36,31,37,27,36,30,23,21,26,30,24,43,364,12.3,,,
,Hepatitis B - unclassified3,310,10.5,17,21,28,29,24,30,22,25,27,28,35,24,23,223,7.5,,,
,Hepatitis C,469,15.8,43,21,49,47,45,42,20,33,38,40,56,35,48,463,15.6,,,
,Ophthalmia neonatorum,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
,"Syphilis, infectious","1,423",48.0,131,114,118,105,101,115,88,112,144,126,146,123,106,"1,244",41.9,,,
,"Syphilis, other",431,14.5,33,30,44,30,34,34,47,33,25,36,50,35,26,256,8.6,,,
,"Enteric, Food and Waterborne",,,,,,,,,,,,,,,,,,,,
,Amebiasis,101,3.4,6,4,4,8,2,12,11,16,12,10,8,8,13,140,4.7,,,
,Botulism,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,Campylobacter enteritis,353,11.9,25,25,8,7,19,27,51,44,42,55,26,24,30,400,13.5,,,
,Cholera,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,Cryptosporidiosis,62,2.1,1,0,0,0,1,4,7,26,7,4,4,8,5,58,2.0,,,
,Cyclosporiasis,15,0.5,0,0,0,0,0,2,5,1,2,0,1,4,<1,65,2.2,,,
,Food poisoning,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0.3,,,
,Giardiasis,156,5.3,11,10,12,9,9,9,15,17,19,19,16,10,18,228,7.7,,,
,Hepatitis A,14,0.5,1,0,0,0,1,2,0,0,2,3,4,1,2,13,0.4,,,
,Listeriosis,20,0.7,3,0,1,1,1,3,5,0,3,1,2,0,1,17,0.6,,,
,Paralytic shellfish poisoning,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,Paratyphoid fever,3,0.1,0,0,1,0,0,0,0,0,0,2,0,0,1,6,0.2,,,
,Salmonellosis,254,8.6,12,10,9,10,13,17,46,25,39,24,23,26,27,291,9.8,,,
,Shigellosis,65,2.2,6,5,7,2,4,4,6,6,3,9,8,5,10,93,3.1,,,
,Trichinosis,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
,Typhoid fever,5,0.2,0,1,0,1,0,0,0,1,0,0,2,0,1,12,0.4,,,
,Verotoxin-producing E. coli infection,25,0.8,0,0,0,2,3,3,2,3,6,3,2,1,<1,20,0.7,,,
,Yersiniosis,82,2.8,8,7,10,4,3,5,6,13,8,6,8,4,4,55,1.9,,,
,Vaccine Preventable ,,,,,,,,,,,,,,,,,,,,
,Acute flaccid paralysis,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,Adverse vaccine reactions,54,1.8,10,5,7,5,1,2,0,1,2,5,8,8,12,57,1.9,,,
,Chickenpox,105,3.5,5,10,10,4,5,2,2,14,13,8,21,11,18,126,4.2,,,
,Diphtheria,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,"Haemophilus influenzae, invasive4",8,0.3,1,2,0,0,1,0,0,2,1,1,0,0,3,15,0.5,,,
,Influenza - sporadic,17,0.6,2,1,0,0,0,0,1,0,1,0,4,8,448,"1,823",61.5,,,
,Influenza - outbreak associated,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17,86,2.9,,,
,Measles,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,Mumps,1,<0.1,1,0,0,0,0,0,0,0,0,0,0,0,2,25,0.8,,,
,Pertussis,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0.5,,,
,Rubella,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
,"Rubella, congenital syndrome",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,Tetanus,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,Direct Contact and Respiratory,,,,,,,,,,,,,,,,,,,,
,COVID-19,"178,767",6027.8,"22,426","9,847","18,549","35,194","15,106","1,909",990,"4,094","3,960","2,086","2,768","61,838",NA,"67,040",2260.5,,,
,Legionellosis,77,2.6,2,2,2,4,2,8,14,12,9,14,8,0,6,50,1.7,,,
,Leprosy,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,<1,0,0.0,,,
,"Meningococcal disease, invasive",4,0.1,0,0,0,0,1,0,2,1,0,0,0,0,0,6,0.2,,,
,"Group A Streptococcal disease, invasive",119,4.0,14,11,8,9,6,12,9,11,6,9,11,13,16,182,6.1,,,
,"Group B Streptococcal disease, neonatal",9,0.3,1,2,0,0,2,2,0,0,0,0,1,1,<1,13,0.4,,,
,"Pneumococcal disease, invasive",96,3.2,8,9,6,12,5,6,2,9,6,7,9,17,29,125,4.2,,,
,TB: Atypical mycobacterial infections,36,1.2,3,4,3,1,2,5,3,2,3,3,3,4,23,128,4.3,,,
,Tuberculosis5,284,9.6,18,27,20,22,27,28,24,31,13,25,26,23,21,272,9.2,,,
,Vectorborne and Zoonotics,,,,,,,,,,,,,,,,,,,,
,Brucellosis,1,<0.1,0,0,0,0,0,0,0,0,1,0,0,0,<1,3,0.1,,,
,Echinoccoccus multilocularis infection4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,Hemorrhagic fevers,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,Lyme disease,136,4.6,0,1,2,2,6,38,40,25,14,5,3,0,<1,48,1.6,,,
,Q fever,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,
,Rabies,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,Tularemia,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
,West Nile Virus,8,0.3,0,0,0,0,0,0,0,2,5,1,0,0,<1,35,1.2,,,
,Other,,,,,,,,,,,,,,,,,,,,
,Blastomycosis4,7,0.2,0,0,1,0,0,3,1,0,0,1,0,1,<1,0,0.0,,,
,Carbapenamase-producing Enterobacteriaceae4,69,2.3,2,2,3,6,2,4,4,5,11,12,12,6,5,71,2.4,,,
,Transmissible spongiform encephalopathy: Creutzfeldt-Jakob disease,3,0.1,0,1,0,0,0,0,0,0,1,0,0,1,<1,4,0.1,,,
,Encephalitis/Meningitis,,,,,,,,,,,,,,,,,,,,
,Encephalitis/Meningitis - bacterial6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,0.2,,,
,Encephalitis/Meningitis - viral6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,25,0.8,,,
,Encephalitis/Meningitis - other6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5,0.2,,,
,Encephalitis/Meningitis - unknown6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<1,0,0.0,,,
,Outbreaks,,,,,,,,,,,,,,,,,,,,
,Gastroenteritis7,14,0.5,1,1,1,1,0,0,2,1,1,1,1,4,8,64,2.2,,,
,Respiratory Infection7,"1,210",40.8,113,89,230,201,63,9,8,20,63,37,76,301,96,857,28.9,,,
,Other7,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,<1,1,0.0,,,
,"Source: Ontario Ministry of Health, integrated Public Health Information System (iPHIS), extracted [02/12/2024].
             Ontario Ministry of Health, Case and Contact Management System (CCM), extracted [02/13/2024].",,,,,,,,,,,,,,,,,,,,
,"1 Rate per 100,000 population. Population source:Statistics Canada, Centre for Demography, customized data (2019).
 ",,,,,,, ,,,,,,,,,,,,,
,"2 3-year average based on 2017-2019 data, rounded to the nearest integer.",,,,,,,,,,,,,,,,,,,,
,3 This category captures cases with positive HBV markers with insufficient evidence to be classified; these are most likely carriers.,,,,,,,,,,,,,,,,,,, ,
,"4 As of May 1, 2018, the reportable disease list for Ontario was updated. Malaria and yellow fever were removed, and Carbapenamase-producing Enterobacteriaceae, blastomycosis and Echinoccoccus multilocularis infection were added. While previously only b serotypes of invasive Haemophilus influenzae were reportable, all serotypes are now reportable.",,,,,,,,,,,,,,,,,,, ,
,5 TB cases included in this report are classified by diagnosis date.,,,,,,,,,,,,,,,, ,,,,
,"6 Due to operational constraints related to the COVID-19 Response, Encephalitis/Meningitis reports (from January 2021 onwards) were not entered into the provincial reporting system (iPHIS).",,,,,,,,,,,,,,,,,,,,
,7 Number of outbreaks and not number of cases counted.,,,,,,,,,,,,,,,,,,,,
,   NA: Not Applicable ,,,,,,,,,,,,,,,,,,,,
, ,,, ,,,,,,,,,,,,, ,,,,
,,,,,,,,,,,,,,,, ,,,,,
